self.name,home_geom_CRS.location.x,home_geom_CRS.location.y,time
pessoas96,6.0868426877674375,14.354689471809749,24060.0
pessoas95,6.0868426877674375,14.354689471809749,24300.0
pessoas62,1.4504759413245825,5.9945139216302294,24420.0
pessoas289,4.850475941324586,3.69451392162825,24420.0
pessoas3,7.646580808863746,2.219406809688657,24660.0
pessoas296,3.043209434210291,5.994513921629331,24900.0
pessoas7,3.0380656157371657,7.193168813702378,25020.0
pessoas217,3.645332122851457,7.193168813702378,25320.0
pessoas223,0.838065615737167,4.893168813702424,25380.0
pessoas332,3.650475941324582,5.994513921629331,25380.0
pessoas210,4.243209434210296,3.69451392162825,25500.0
pessoas335,3.043209434210291,5.994513921629331,25800.0
pessoas106,5.456842687767438,17.40468947180975,25860.0
pessoas75,5.456842687767438,17.40468947180975,25920.0
pessoas311,5.456842687767438,17.40468947180975,26280.0
pessoas114,5.966842687767437,10.824689471809748,26340.0
pessoas319,4.850475941324586,8.29451392162861,26880.0
pessoas221,3.645332122851457,16.39316881370242,26940.0
pessoas27,3.043209434210291,1.3945139216289668,27000.0
pessoas317,7.646580808863746,4.614567749794645,27060.0
pessoas285,4.243209434210296,3.69451392162825,27120.0
pessoas61,1.4504759413245825,3.6945139216300493,27480.0
pessoas111,3.043209434210291,3.6945139216291487,27600.0
pessoas120,7.646580808863746,2.219406809688657,27600.0
pessoas194,3.043209434210291,1.3945139216289668,27780.0
pessoas355,7.646580808863746,2.219406809688657,27900.0
pessoas320,4.850475941324586,10.59451392162879,28260.0
pessoas146,4.238065615737167,14.09316881370247,28320.0
pessoas325,3.043209434210291,15.194513921630051,28440.0
pessoas74,4.845332122851458,7.193168813702378,28500.0
pessoas127,10.286842687767438,2.56468947180975,28740.0
pessoas322,5.456842687767438,17.40468947180975,28740.0
pessoas59,6.0868426877674375,14.354689471809749,28920.0
pessoas370,6.0868426877674375,14.354689471809749,28980.0
pessoas168,4.238065615737167,2.5931688137024693,29220.0
pessoas9,7.646580808863746,3.416987279741651,29460.0
pessoas225,0.838065615737167,14.09316881370247,29580.0
pessoas232,10.286842687767438,2.56468947180975,39900.0
pessoas401,5.556842687767437,0.14468947180974823,40140.0
pessoas14,7.646580808863746,5.211314332141871,40860.0
pessoas183,3.043209434210291,5.994513921629331,40920.0
pessoas354,7.646580808863746,4.614567749794645,41040.0
pessoas139,3.650475941324582,1.3945139216289668,41100.0
pessoas119,0.8432094342102918,15.19451392163095,41400.0
pessoas40,3.043209434210291,5.994513921629331,41820.0
pessoas195,5.456842687767438,17.40468947180975,42120.0
pessoas202,5.456842687767438,17.40468947180975,42360.0
pessoas259,5.456842687767438,17.40468947180975,42360.0
pessoas24,5.556842687767437,0.14468947180974823,42780.0
pessoas372,5.456842687767438,17.40468947180975,42780.0
pessoas275,6.447982114309918,4.614567749794645,43260.0
pessoas212,0.838065615737167,14.09316881370247,43440.0
pessoas173,5.556842687767437,0.14468947180974823,43500.0
pessoas284,7.646580808863746,2.816153392035879,43560.0
pessoas334,5.966842687767437,10.824689471809748,43680.0
pessoas68,1.445332122851458,16.39316881370242,43800.0
pessoas52,3.043209434210291,15.194513921630051,43920.0
pessoas126,0.838065615737167,4.893168813702424,43920.0
pessoas190,3.650475941324582,3.6945139216291487,43920.0
pessoas78,3.043209434210291,15.194513921630051,44340.0
pessoas33,5.556842687767437,0.14468947180974823,44460.0
pessoas329,5.966842687767437,10.824689471809748,45120.0
pessoas50,10.286842687767438,2.56468947180975,45360.0
pessoas273,7.646580808863746,4.614567749794645,45720.0
pessoas41,5.556842687767437,0.14468947180974823,61980.0
pessoas132,6.0868426877674375,14.354689471809749,62160.0
pessoas358,6.0868426877674375,14.354689471809749,62880.0
pessoas383,10.286842687767438,2.56468947180975,63720.0
pessoas5,5.966842687767437,10.824689471809748,63840.0
pessoas331,6.447982114309918,4.013733862088877,64080.0
pessoas166,10.286842687767438,2.56468947180975,64800.0
pessoas396,5.556842687767437,0.14468947180974823,66060.0
pessoas94,5.556842687767437,0.14468947180974823,110460.0
pessoas381,5.556842687767437,0.14468947180974823,110820.0
pessoas239,10.286842687767438,2.56468947180975,111240.0
pessoas238,6.0868426877674375,14.354689471809749,111480.0
pessoas270,6.0868426877674375,14.354689471809749,111480.0
pessoas45,5.556842687767437,0.14468947180974823,112980.0
pessoas148,6.0868426877674375,14.354689471809749,113640.0
pessoas164,3.0380656157371657,14.09316881370247,113760.0
pessoas327,10.286842687767438,2.56468947180975,114480.0
pessoas179,6.0868426877674375,14.354689471809749,126600.0
pessoas359,6.0868426877674375,14.354689471809749,126600.0
pessoas76,1.445332122851458,7.193168813702378,126720.0
pessoas290,5.556842687767437,0.14468947180974823,128580.0
pessoas226,5.556842687767437,0.14468947180974823,129060.0
pessoas86,5.556842687767437,0.14468947180974823,129420.0
pessoas336,10.286842687767438,2.56468947180975,129600.0
pessoas292,5.556842687767437,0.14468947180974823,130980.0
pessoas278,5.556842687767437,0.14468947180974823,148260.0
pessoas58,6.0868426877674375,14.354689471809749,148560.0
pessoas384,5.556842687767437,0.14468947180974823,149700.0
pessoas321,10.286842687767438,2.56468947180975,150840.0
pessoas265,5.556842687767437,0.14468947180974823,151620.0
pessoas144,6.0868426877674375,14.354689471809749,151800.0
pessoas107,3.0380656157371657,4.893168813702424,152640.0
pessoas124,10.286842687767438,2.56468947180975,153360.0
pessoas286,6.447982114309918,1.618572921982885,197280.0
pessoas374,5.556842687767437,0.14468947180974823,198060.0
pessoas13,5.966842687767437,10.824689471809748,198120.0
